that,1475
with,892
they,775
have,670
from,645
their,591
more,571
people,532
what,513
this,461
when,456
about,444
your,418
there,365
them,359
some,357
were,355
than,355
will,342
which,323
time,322
would,310
children,293
been,264
many,258
because,251
most,246
school,238
after,236
students,227
help,219
first,214
other,214
life,212
work,196
make,195
said,192
only,189
should,184
years,183
year,182
like,179
could,179
good,178
world,176
also,169
even,160
just,159
then,158
water,154
parents,153
found,151
into,150
much,148
author,147
passage,145
very,141
know,141
according,139
important,139
paragraph,138
down,137
while,136
well,135
think,135
want,135
family,135
often,133
find,131
over,130
hours,130
before,130
writing,130
take,129
those,129
does,129
these,127
best,126
however,125
feel,124
made,123
never,122
where,119
less,119
research,118
great,114
learn,114
change,114
study,114
teacher,114
need,112
small,112
food,112
following,110
thought,109
through,109
better,109
class,109
talk,108
between,107
still,107
used,107
others,106
something,105
home,104
every,104
three,103
last,103
being,102
might,102
money,99
same,98
says,98
part,97
things,97
another,97
different,96
come,96
away,95
child,94
place,93
mother,93
without,90
true,90
little,90
attitudes,90
right,88
such,88
experience,88
long,88
point,86
keep,86
animals,86
handwriting,85
give,83
once,83
young,82
write,82
jacket,82
going,81
times,81
each,81
text,78
words,78
five,77
friends,77
teachers,77
problem,77
must,76
hard,76
show,76
university,76
making,75
probably,75
means,74
human,74
days,73
back,73
early,73
social,73
washington,73
science,72
next,71
spelling,71
really,70
called,69
body,69
become,69
around,69
women,69
chinese,69
person,68
thinking,68
college,68
high,66
today,66
having,65
read,65
until,65
week,64
came,64
percent,64
house,64
paper,63
here,63
china,63
name,63
service,63
makes,63
studies,63
tell,62
sometimes,62
example,61
since,61
always,61
getting,61
attention,61
city,60
ever,60
word,60
wanted,60
humans,60
road,60
sitting,59
ability,59
believe,59
went,59
develop,59
along,59
space,59
friend,58
love,58
someone,58
public,58
felt,58
eating,58
reading,57
rather,57
states,57
soon,56
idea,56
book,56
call,56
likely,56
didn,56
business,56
street,56
system,56
design,56
davis,56
personal,55
united,55
language,55
american,55
during,54
ideas,54
ways,54
both,54
crying,54
health,54
started,54
self,53
myself,53
underlined,53
teaching,53
deep,53
plants,53
teach,52
past,52
office,52
team,52
west,52
father,52
museum,52
working,51
story,51
special,51
number,51
stay,51
shows,50
asked,50
yourself,50
facebook,50
disease,50
everyone,49
books,49
instead,49
couldn,49
stop,49
information,49
realized,49
influence,49
given,48
learning,48
able,48
happy,48
using,48
move,48
desk,48
four,48
silence,48
classroom,48
heat,48
longer,47
problems,47
mind,47
coming,47
improve,47
room,47
